HealtyPersons,InfectedPersons,RecoveredPersons,Time
298,2,0,1
293,7,0,2
293,7,0,3
293,7,0,4
293,7,0,5
293,7,0,6
293,7,0,7
293,7,0,8
293,7,0,9
293,7,0,10
293,7,0,11
293,7,0,12
293,7,0,13
293,7,0,14
293,7,0,15
295,5,2,16
300,0,7,17
300,0,7,18
300,0,7,19
300,0,7,20
300,0,7,21
300,0,7,22
300,0,7,23
300,0,7,24
300,0,7,25
300,0,7,26
300,0,7,27
300,0,7,28
300,0,7,29
300,0,7,30
300,0,7,31
300,0,7,32
300,0,7,33
300,0,7,34
300,0,7,35
300,0,7,36
300,0,7,37
300,0,7,38
300,0,7,39
300,0,7,40
300,0,7,41
300,0,7,42
300,0,7,43
300,0,7,44
300,0,7,45
300,0,7,46
300,0,7,47
300,0,7,48
300,0,7,49
300,0,7,50
300,0,7,51
300,0,7,52
300,0,7,53
300,0,7,54
300,0,7,55
300,0,7,56
300,0,7,57
300,0,7,58
300,0,7,59
300,0,7,60
300,0,7,61
300,0,7,62
300,0,7,63
300,0,7,64
300,0,7,65
300,0,7,66
300,0,7,67
300,0,7,68
300,0,7,69
300,0,7,70
300,0,7,71
300,0,7,72
300,0,7,73
300,0,7,74
300,0,7,75
300,0,7,76
300,0,7,77
300,0,7,78
300,0,7,79
300,0,7,80
300,0,7,81
300,0,7,82
300,0,7,83
300,0,7,84
300,0,7,85
300,0,7,86
300,0,7,87
300,0,7,88
300,0,7,89
300,0,7,90
300,0,7,91
300,0,7,92
300,0,7,93
300,0,7,94
300,0,7,95
300,0,7,96
300,0,7,97
300,0,7,98
300,0,7,99
300,0,7,100
300,0,7,101
