HealtyPersons,InfectedPersons,RecoveredPersons,Time
298,2,0,1
293,7,0,2
292,8,0,3
292,8,0,4
281,19,0,5
280,20,0,6
280,20,0,7
280,20,0,8
280,20,0,9
280,20,0,10
280,20,0,11
280,20,0,12
280,20,0,13
280,20,0,14
280,20,0,15
278,22,2,16
282,18,7,17
283,17,8,18
283,17,8,19
294,6,19,20
294,6,20,21
294,6,20,22
294,6,20,23
294,6,20,24
294,6,20,25
294,6,20,26
294,6,20,27
294,6,20,28
294,6,20,29
294,6,20,30
298,2,24,31
299,1,25,32
299,1,25,33
299,1,25,34
299,1,25,35
300,0,26,36
300,0,26,37
300,0,26,38
300,0,26,39
300,0,26,40
300,0,26,41
300,0,26,42
300,0,26,43
300,0,26,44
300,0,26,45
300,0,26,46
300,0,26,47
300,0,26,48
300,0,26,49
300,0,26,50
300,0,26,51
300,0,26,52
300,0,26,53
300,0,26,54
300,0,26,55
300,0,26,56
300,0,26,57
300,0,26,58
300,0,26,59
300,0,26,60
300,0,26,61
300,0,26,62
300,0,26,63
300,0,26,64
300,0,26,65
300,0,26,66
300,0,26,67
300,0,26,68
300,0,26,69
300,0,26,70
300,0,26,71
300,0,26,72
300,0,26,73
300,0,26,74
300,0,26,75
300,0,26,76
300,0,26,77
300,0,26,78
300,0,26,79
300,0,26,80
300,0,26,81
300,0,26,82
300,0,26,83
300,0,26,84
300,0,26,85
300,0,26,86
300,0,26,87
300,0,26,88
300,0,26,89
300,0,26,90
300,0,26,91
300,0,26,92
300,0,26,93
300,0,26,94
300,0,26,95
300,0,26,96
300,0,26,97
300,0,26,98
300,0,26,99
300,0,26,100
300,0,26,101
