HealtyPersons,InfectedPersons,RecoveredPersons,Time
598,2,0,0
594,6,0,8
588,12,0,16
582,18,0,24
576,24,0,32
573,27,0,40
568,32,0,48
563,37,0,56
558,42,0,64
551,49,0,72
539,61,0,80
531,69,0,88
522,78,0,96
511,89,0,104
499,101,0,112
489,111,6,120
482,118,12,128
473,127,18,136
470,130,23,144
464,136,27,152
457,143,31,160
447,153,36,168
432,168,42,176
427,173,49,184
425,175,58,192
421,179,68,200
400,200,76,208
387,213,88,216
375,225,99,224
365,235,114,232
355,245,130,240
