HealtyPersons,InfectedPersons,RecoveredPersons,Time
499,1,0,0
491,9,0,1
478,22,0,2
463,37,0,3
436,64,0,4
406,94,0,5
373,127,0,6
347,153,0,7
324,176,0,8
291,209,0,9
249,251,0,10
230,270,0,11
192,308,0,12
160,340,0,13
137,363,0,14
103,397,5,15
91,409,21,16
87,413,37,17
90,410,60,18
104,396,90,19
126,374,123,20
150,350,150,21
175,325,175,22
205,295,205,23
247,253,247,24
267,233,267,25
305,195,305,26
338,162,338,27
360,140,360,28
399,101,399,29
427,73,427,30
449,51,449,31
469,31,469,32
485,15,485,33
496,4,496,34
499,1,499,35
500,0,500,36
500,0,500,37
500,0,500,38
500,0,500,39
500,0,500,40
500,0,500,41
500,0,500,42
500,0,500,43
500,0,500,44
500,0,500,45
500,0,500,46
500,0,500,47
500,0,500,48
500,0,500,49
500,0,500,50
500,0,500,51
500,0,500,52
500,0,500,53
500,0,500,54
500,0,500,55
500,0,500,56
500,0,500,57
500,0,500,58
500,0,500,59
