HealtyPersons,InfectedPersons,RecoveredPersons,Time
124,1,0,0
124,1,0,1
124,1,0,2
124,1,0,3
124,1,0,4
124,1,0,5
124,1,0,6
122,3,0,7
120,5,0,8
118,7,0,9
118,7,0,10
116,9,0,11
115,10,0,12
112,13,0,13
109,16,0,14
104,21,1,15
101,24,1,16
97,28,1,17
94,31,1,18
91,34,1,19
85,40,1,20
83,42,3,21
76,49,4,22
75,50,7,23
65,60,7,24
63,62,8,25
59,66,10,26
59,66,11,27
62,63,16,28
66,59,22,29
67,58,25,30
63,62,28,31
60,65,31,32
59,66,35,33
63,62,41,34
64,61,43,35
72,53,53,36
74,51,57,37
83,42,67,38
86,39,70,39
91,34,76,40
91,34,77,41
93,32,79,42
95,30,81,43
96,29,83,44
100,25,89,45
105,20,95,46
109,16,100,47
112,13,103,48
113,12,104,49
114,11,105,50
116,9,107,51
117,8,108,52
118,7,109,53
118,7,109,54
120,5,111,55
120,5,111,56
120,5,111,57
120,5,112,58
122,3,114,59
