HealtyPersons,InfectedPersons,RecoveredPersons,Time
124,1,0,0
124,1,0,1
124,1,0,2
124,1,0,3
124,1,0,4
124,1,0,5
124,1,0,6
122,3,0,7
120,5,0,8
118,7,0,9
118,7,0,10
116,9,0,11
116,9,0,12
114,11,0,13
110,15,0,14
104,21,1,15
101,24,1,16
97,28,1,17
94,31,1,18
91,34,1,19
84,41,1,20
82,43,3,21
76,49,4,22
72,53,7,23
63,62,7,24
63,62,8,25
61,64,9,26
60,65,10,27
62,63,15,28
66,59,22,29
66,59,25,30
60,65,28,31
58,67,31,32
59,66,35,33
62,63,42,34
64,61,45,35
70,55,53,36
75,50,60,37
83,42,69,38
84,41,70,39
86,39,73,40
87,38,75,41
89,36,78,42
92,33,81,43
95,30,84,44
102,23,92,45
107,18,98,46
108,17,100,47
113,12,105,48
114,11,106,49
115,10,107,50
117,8,109,51
118,7,110,52
119,6,111,53
119,6,111,54
121,4,113,55
122,3,114,56
122,3,114,57
121,4,114,58
122,3,115,59
